id,customer_id,amount,paid_amount,status,channel,created_at,paid_at,province,city
O001,C001,580.00,580.00,completed,wechat,2024-03-01 10:30:00,2024-03-01 10:35:00,上海,上海
O002,C001,1200.00,1200.00,completed,tmall,2024-03-05 14:20:00,2024-03-05 14:25:00,上海,上海
O003,C002,850.00,850.00,completed,wechat,2024-03-02 09:15:00,2024-03-02 09:20:00,北京,北京
O004,C004,2500.00,2500.00,completed,jd,2024-03-01 16:00:00,2024-03-01 16:05:00,广东,深圳
O005,C004,1800.00,1800.00,completed,tmall,2024-03-10 11:30:00,2024-03-10 11:35:00,广东,深圳
O006,C005,299.00,299.00,completed,web,2024-03-03 20:00:00,2024-03-03 20:05:00,浙江,杭州
O007,C006,680.00,680.00,completed,wechat,2024-03-08 15:45:00,2024-03-08 15:50:00,江苏,南京
O008,C008,1500.00,1500.00,completed,tmall,2024-03-12 10:00:00,2024-03-12 10:05:00,四川,成都
O009,C010,920.00,920.00,completed,wechat,2024-03-15 14:30:00,2024-03-15 14:35:00,上海,上海
O010,C010,1350.00,1350.00,completed,app,2024-03-17 09:00:00,2024-03-17 09:05:00,上海,上海
O011,C003,500.00,500.00,completed,app,2024-02-25 11:00:00,2024-02-25 11:05:00,北京,北京
O012,C007,380.00,380.00,completed,app,2024-03-12 16:20:00,2024-03-12 16:25:00,广东,广州
O013,C001,750.00,750.00,completed,wechat,2024-02-20 13:00:00,2024-02-20 13:05:00,上海,上海
O014,C002,420.00,420.00,completed,wechat,2024-02-28 10:30:00,2024-02-28 10:35:00,北京,北京
O015,C004,3200.00,3200.00,completed,wechat,2024-02-15 15:00:00,2024-02-15 15:05:00,广东,深圳
